tweet,label,raw
@user she should ask a few native americans what their take on this is.,OFF,@USER She should ask a few native Americans what their take on this is.
@user @user go home you’re drunk!!! @user maga trump2020  oncoming fist  united states  oncoming fist  url,OFF,@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL
amazon is investigating chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. url amazon maga kag china t cot,NOT,Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT
"@user someone should'vetaken"" this piece of shit to a volcano.  face with tears of joy """,OFF,"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂"""
@user @user obama wanted liberals &amp; illegals to move into red states,NOT,@USER @USER Obama wanted liberals &amp; illegals to move into red states
@user liberals are all kookoo !!!,OFF,@USER Liberals are all Kookoo !!!
@user @user oh noes! tough shit.,OFF,@USER @USER Oh noes! Tough shit.
@user was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,OFF,@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism
@user buy more icecream!!!,NOT,@USER Buy more icecream!!!
@user canada doesn’t need another cuck! we already have enough looney left liberals f**king up our great country! q proofs trudeau must go,OFF,@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo
@user @user @user it’s not my fault you support gun control,NOT,@USER @USER @USER It’s not my fault you support gun control
@user what’s the difference between kavanaugh and @user   one of these men admitted to groping a 15 year old girl years ago.  the other is going to be confirmed to the scj   dems are frauds dems are done   walk away democrats 2018 red wave vote red save america trump train maga url,NOT,@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL
@user you are a lying corrupt traitor!!! nobody wants to hear anymore of your lies!!! deep state corruption url,OFF,@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL
@user @user @user it should scare every american!  she is playing hockey with a warped puck!,NOT,@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user i like my soda like i like my boarders with a lot of ice.,NOT,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.
@user you are also the king of taste,NOT,@USER you are also the king of taste
maga @user   musical notes  sing like no one is listening   heart suit  love like you've never been hurt   check mark  vote gop when no one is watching   hear-no-evil monkey   and don't listen to liberals' dirt url,NOT,#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL
"5 / 5: @user the time is right for this house to respond to the concerns of all canadians. four out of five canadians support stronger gun control and with good reason.” gun control cdn poli cdn hist""",NOT,"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist"""
@user besides jax’s mom and maybe ope he is hands down my favorite he’s like the only good person on the show  face with tears of joy ,NOT,@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂
@user @user @user gun control! that is all these kids are asking for!,OFF,@USER @USER @USER gun control! That is all these kids are asking for!
@user @user @user @user lol!!!   throwing the bullshit flag on such nonsense!!  put up or shut up   kavanaugh   maga   call the vote already url,OFF,@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL
@user @user you are correct.,NOT,@USER @USER You are correct.
@user @user kind of like when conservatives wanna associate everyone to their left as communist antifa members?,OFF,@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?
@user @user da fuck is going on people?   there's the men's room and the women's room  pick one and stick w it  thinking face ,OFF,@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔
@user been a willie fan since before most of you were born....love that he is holding a rally with beto.... exactly which fans are furious?  could you give some specifics? url,NOT,@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL
@user tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,OFF,@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..
"south korean official: “leaders will discuss specific denuke measures in pyongyang”""  url t cot maga red nation rising""",NOT,"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising"""
@user @user you can tell he is a hooper too,NOT,@USER @USER You can tell he is a hooper too
@user i feel like he is better chasing the title,NOT,@USER I feel like he is better chasing the title
@user @user @user she?  to whom are you referring to?  hillary?  you know what is tiresome?  bernie supporters bashing hillary clinton.  she is an actual democrat who raises money for the democratic party and doesn’t bash them.  she has a positive message.  so who is dividing the left?,OFF,@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?
@user glad to see your friends are supporting metis rights as much as you are supporting zionists. url,NOT,@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL
@user yes you are but i was asking what is it about the movie ? man shrugging  eyes ,NOT,@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀
the only thing the democrats have is lying and stalling to stop trump from being president.  what have they done for you lately. trump kavanaugh maga dem suck,OFF,The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK
@user no wonder he is being apologetic and more social these day....,NOT,@USER No wonder he is being apologetic and more social these day....
@user @user @user any updates re ending your blatant racism as windrush &amp; grenfell proves you are  @user @user all out politics politics live pm qs @user url,NOT,@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL
@user @user @user @user @user @user @user @user @user @user @user do you know what’s going to happen now?  i’m going to have to lay in bed and cry while i listen to kelly clarkson. thanks free speech antifa.,NOT,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user you are not very smart are you? why do you think gen flynn’s sentencing keeps being rescheduled? url,OFF,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL
@user @user @user that's expected if you placate the violent leftists / terrorists. kavanaugh confirmation woke,OFF,@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke
@user blow hard,NOT,@USER Blow hard
@user @user @user that means you are a max lvl. twitter user and maybe should try a new game,NOT,@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game
"@user @user please explain what controlled opposition"" means.  as for bernier escaping, he split with the rest of the conservatives because he's even more racist and exclusionary than they want to be.""",NOT,"@USER @USER Please explain what controlled opposition"" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be."""
@user @user @user @user @user socialists politics that stand up for the downtrodden. and well done for conflating criticism of israel with anti semitism. you are also part of the problem.,NOT,@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.
3. nina  one of the reasons i didn't read this book for so long was because i was so worried about her character. i should've trusted everyone. nina is a goddamn goddess i would die for a thousand times over. she is big and bold and lovely and perfect. her arc. is. perfect.,NOT,3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.
.@user @user @user @user @user  please vote no on kavanaugh. he is not fit for scotus and allegations about women and shady financials should disqualify him.    rule of law matters. me too country over party withdraw kavanaugh  stop kavanaugh,NOT,.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh
"@user @user ppl who say i'm not racist"" are racist. you are a racist. repeat after me""",NOT,"@USER @USER Ppl who say I'm not racist"" are racist. You Are A Racist. Repeat after me"""
@user kathy the patriot statue of liberty   you have to love our great president trump!!!  a spine of u.s. steel!! changing it! on trade &amp; everything for americans!! america first usa maga leadership &amp; respect economy jobs peace thru strength god bless trump &amp; the usa      grinning face   statue of liberty  statue of liberty  statue of liberty   grinning face ,NOT,@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀
@user wow you liberals really don’t have a sense of humor. face with rolling eyes ,NOT,@USER Wow you liberals really don’t have a sense of humor.🙄
@user i'm so fucking ready,NOT,@USER I'M SO FUCKING READY
@user holy moly!! if the catholic people haven't been awakened by this ..... false prophet  lunatic,NOT,@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic
@user lol yeah per dina he is there everyday per claudia no horse got vet care unless it was for donation example limping etc,NOT,@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc
@user @user @user what a surprise.... same as antifa. blm and so on and so on. soros is americas worst enemy in history. he believes the only way to take down the usa is from withing. and hes right. but it's not gunna happen.,NOT,@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.
@user me too! her wedding was the best! she is very pretty!,NOT,@USER Me too! Her wedding was the best! She is very pretty!
@user @user no conflict here—don’t look at this.  soros involved in violent left agenda of antifa also.,NOT,@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.
@user @user @user url any of your announcements every come to fruition or is it basically stealing labour's ideas to get a few more votes,NOT,@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes
4 out of 10 british people are basically full-on racists. 4 out of 10 voters vote for the conservatives. coincidence!???!???,OFF,4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???
gun control advocates must stop falling all over themselves to assure electorate that they too love the horrific 2a url,NOT,#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL
